Is Managed,Manufacturer,Model,CPP BW,Serial Number,IP Address,Mac Address,Firmware Version 1,First Audit Date,Last Audit Date,Total Pages,Total Pages Mono,Total Pages Color,Total Cost Mono,TCM/Day
TRUE,SHARP,MX-M363N,0.0075,2000030Y00,10.157.41.52,78-1C-5A-BF-CE-9C,03.04.j3,10/9/2018 1:17:32 PM,10/10/2019 1:18:34 PM,228972,228972,,1717.29,4.692039981
TRUE,SHARP,MX-M363N,0.0075,9501554900,10.157.49.97,00-22-F3-9D-0E-DA,03.04.j3,10/9/2018 1:17:32 PM,10/10/2019 1:18:34 PM,823127,823127,,6173.4525,16.86732349
TRUE,SHARP,MX-M363N,0.0075,9502125400,10.157.59.55,00-22-F3-68-18-04,03.04.j3,10/9/2018 1:17:32 PM,10/10/2019 1:18:34 PM,213400,213400,,1600.5,4.372942246
TRUE,SHARP,MX-M365N,0.0075,6501190X00,10.157.54.52,24-31-84-C8-6C-0F,03.00.o1,9/10/2019 2:42:06 PM,10/10/2019 1:18:34 PM,24649,24649,,184.8675,6.17418867
TRUE,SHARP,MX-M453N,0.0075,9503443400,10.157.49.125,00-22-F3-68-1E-6E,03.01.jc,10/9/2018 1:17:32 PM,10/10/2019 1:18:34 PM,202856,202856,,1521.42,4.156877096
FALSE,SHARP,MX-M550N,0.0069,,10.157.59.63,70-75-62-6C-69-63,,12/2/2018 1:26:00 PM,12/2/2018 1:26:00 PM,,,,,
TRUE,SHARP,MX-M550N,0.0069,8500957300,10.157.59.63,00-1C-EE-7B-C3-14,n3.03.D0,10/9/2018 1:17:32 PM,10/10/2019 1:18:34 PM,1037481,1037481,,7158.6189,19.55902968
TRUE,SHARP,MX-M620N,0.0069,6500950Y00,10.157.59.67,00-17-5C-6E-EA-51,n3.03.D0,3/8/2019 5:17:25 PM,10/10/2019 1:18:34 PM,1537461,1537461,,10608.4809,49.15108099
TRUE,SHARP,MX-M620N,0.0069,8500650700,10.157.47.53,00-1C-EE-94-D4-EB,m.16,10/9/2018 1:17:32 PM,10/10/2019 1:18:34 PM,341973,341973,,2359.6137,6.447019327
TRUE,SHARP,MX-M654N,0.0069,8500101300,10.157.16.50,34-5A-06-4A-EE-A8,03.01.t1,9/10/2019 2:42:06 PM,10/10/2019 1:18:34 PM,55876,55876,,385.5444,12.87637831
TRUE,SHARP,MX-M753N,0.0058,4500314X00,10.157.44.52,24-26-42-D9-50-AE,04.04.d3,10/9/2018 1:17:32 PM,10/10/2019 1:18:34 PM,231924,231924,,1345.1592,3.675291155
TRUE,SHARP,MX-M753N,0.0058,4500382X00,10.157.49.120,24-26-42-D9-50-F4,04.04.d3,10/9/2018 1:17:32 PM,10/10/2019 1:18:34 PM,580125,580125,,3364.725,9.19321968
TRUE,SHARP,MX-M753N,0.0058,4500385X00,10.157.49.72,24-26-42-D9-50-D0,04.04.d3,10/9/2018 9:17:37 AM,10/10/2019 1:18:34 PM,858691,858691,,4980.4078,13.60145333
TRUE,SHARP,MX-M753N,0.0058,4500397X00,10.157.44.56,24-26-42-D9-51-44,04.04.d3,10/9/2018 1:17:32 PM,10/10/2019 1:18:34 PM,768826,768826,,4459.1908,12.18355753
FALSE,SHARP,MX-4111N,0.009,1503385700,10.157.59.57,70-75-62-6C-69-63,08.20.R1,,,,,,,
FALSE,SOURCE,Technologies ST9715,0.0058,451456LM2B3BC,10.157.49.102,00-21-B7-39-6E-F9,NH41.CY.N454,10/9/2018 5:17:46 AM,10/10/2019 1:18:34 PM,16117,16117,,93.4786,0.255173225
,,,,,,,,,,,,,,
